"1","ffffff",,"background_color","1"
"1","base_basic_1.gif",,"base","1"
"1","ffd601",,"base_color","1"
"1","symbol_background_1.gif",,"symbol","1"
"1","ffffff",,"symbol_color","1"
"2","e5e5e5",,"background_color","1"
"2","base_basic_2.gif",,"base","1"
"2","ec7600",,"base_color","1"
"2","symbol_background_2.gif",,"symbol","1"
"2","ebebeb",,"symbol_color","1"
"3","bfbfbf",,"background_color","1"
"3","base_basic_3.gif",,"base","1"
"3","84de00",,"base_color","1"
"3","symbol_background_3_part2.gif","symbol_background_3_part1.gif","symbol","1"
"3","d4d4d4",,"symbol_color","1"
"4","999999",,"background_color","1"
"4","base_basic_4.gif",,"base","1"
"4","589a00",,"base_color","1"
"4","symbol_ball_1_part2.gif","symbol_ball_1_part1.gif","symbol","1"
"4","bdbdbd",,"symbol_color","1"
"5","737373",,"background_color","1"
"5","base_basic_5.gif",,"base","1"
"5","50c1fb",,"base_color","1"
"5","symbol_ball_2_part2.gif","symbol_ball_2_part1.gif","symbol","1"
"5","a6a6a6",,"symbol_color","1"
"6","4c4c4c",,"background_color","1"
"6","base_advanced_1.gif",,"base","1"
"6","006fcf",,"base_color","1"
"6","symbol_bobba.gif",,"symbol","1"
"6","8f8f8f",,"symbol_color","1"
"7","589a00",,"background_color","1"
"7","base_advanced_2.gif",,"base","1"
"7","ff98e3",,"base_color","1"
"7","symbol_bomb_part2.gif","symbol_bomb_part1.gif","symbol","1"
"7","787878",,"symbol_color","1"
"8","4f8a00",,"background_color","1"
"8","base_advanced_3.gif",,"base","1"
"8","f334bf",,"base_color","1"
"8","symbol_bow.gif",,"symbol","1"
"8","616161",,"symbol_color","1"
"9","427300",,"background_color","1"
"9","base_advanced_4.gif",,"base","1"
"9","ff2d2d",,"base_color","1"
"9","symbol_box_1.gif",,"symbol","1"
"9","4c4c4c",,"symbol_color","1"
"10","355c00",,"background_color","1"
"10","base_gold_1_part2.gif","base_gold_1_part1.gif","base","1"
"10","af0a0a",,"base_color","1"
"10","symbol_box_2.gif",,"symbol","1"
"10","589a00",,"symbol_color","1"
"11","284500",,"background_color","1"
"11","base_gold_2_part2.gif","base_gold_2_part1.gif","base","1"
"11","ffffff",,"base_color","1"
"11","symbol_bunting_1.gif",,"symbol","1"
"11","518e00",,"symbol_color","1"
"12","1a2e00",,"background_color","1"
"12","base_pin_part2.gif","base_pin_part1.gif","base","1"
"12","c0c0c0",,"base_color","1"
"12","symbol_bunting_2.gif",,"symbol","1"
"12","498000",,"symbol_color","1"
"13","84de00",,"background_color","1"
"13","base_gradient_1.gif",,"base","1"
"13","373737",,"base_color","1"
"13","symbol_butterfly_part2.gif","symbol_butterfly_part1.gif","symbol","1"
"13","417200",,"symbol_color","1"
"14","77c700",,"background_color","1"
"14","base_gradient_2.gif",,"base","1"
